jl_sku,asin,title,resolved_handle,method,confidence,verified_reviews,inferred_reviews,photos,jl_sku_resolution,audit_verdict,proposed_handle,proposal_confidence,reasoning
th-cor03-a265,B07JKD6ZVB,"Class 1 I Black 1.25"" Receiver Tube Rear Bumper Trailer Tow Hitch Towing Mount Compatible",,UNRESOLVED — needs match,,0,1,0,single_direct,,,not-on-site,th-cor03-a265=Toyota Corolla 2003 class 1 hitch; no Corolla hitch handle in catalog
th-piru04-a468,B07JKLQPGL,"Class 1 I Black 1.25"" Receiver Tube Rear Bumper Trailer Tow Hitch Towing Mount Compatible",,UNRESOLVED — needs match,,1,0,2,single_direct,,,not-on-site,th-piru04-a468=Toyota Prius 2004 class 1 hitch; no Prius hitch handle in catalog
sbhd-f15015cc-5-bk,B07JR9DQS5,"5"" Oval Black Side Step Nerf Bars Rail Running Boards Compatible with 15-22 Ford F150 Supe",2017-2022-ford-super-duty-crew-cab-5-steel-side-step-bars-black,image-stem (confident),high,1,0,1,single_direct,PULL,,,"sbhd-f15015cc-5-bk=F-150 2015 Crew Cab 5-inch oval black; handle=Super Duty 2017-22 crew cab 5-inch steel step bars. F-150 and Super Duty (F-250/F-350) are different trucks with different rocker geometry — same stem matched because sbhd-f15015cc is used in both product lines. Remove from live; correct handle should be 2015-2018-ford-f-150-f-250-super-crew-modular-step-bars-matte-black or a dedicated F-150 2015 5-inch oval handle (not found in catalog)."
th-sore14-b113,B07KCR1QP5,Stehlen 733469488989 Compatible with 2014-2015 Sorento / 2013-2018 Santa Fe Sport Class 2,class-2-trailer-hitch-black-kia-sorento-hyundai-santa-fe-sport,image-stem (confident),high,0,1,0,single_direct,PASS,,,jl_sku=sore14 class 2 b113; handle=class 2 hitch Kia Sorento/Hyundai Santa Fe Sport; make/model/years/class all match
th-tran15-c193,B07KCS4SNJ,Stehlen 733469489108 Compatible with 2015-2021 Ford Transit 150/250 / 350 Class 3 Trailer,2015-2021-ford-transit-150-250-350-class-3-trailer-hitch-13193,image-stem (confident),high,0,1,0,single_direct,PASS,,,jl_sku=tran15 class 3 c193; handle=15-21 Ford Transit 150/250/350 class 3 hitch 13193; make/model/years/class/MPN all match
th-nitr07-c334,B07KCZQ97K,Stehlen 733469488675 Compatible with 2007-2011 Dodge Nitro Class 3 Trailer Tow Hitch Recei,2007-2011-dodge-nitro-class-3-trailer-hitch-black,image-stem (confident),high,0,1,0,single_direct,PASS,,,jl_sku=nitr07 class 3 c334; handle=07-11 Dodge Nitro class 3 hitch; make/model/years/class all match
tc-ram19-5.8-hss,B07L5YMWFM,"Stehlen 733469493259 Compatible with 2019-2026 Dodge Ram 1500 New Body 5.7 Feet (68.4"") Sh",,UNRESOLVED — needs match,,0,1,0,single_direct,,2019-dodge-ram-5-8ft-bed-hard-tri-fold-tonneau-cover-low-profile,high,tc-ram19-5.8-hss=Ram 1500 2019 5.8ft (5'7") hard snap-shut/low-profile; handle=2019 Dodge Ram 5.8ft hard tri-fold low-profile; make/model/year/bed-length/style all match. Note title says 2019-2026 but handle only says 2019 — confirm if this handle covers full 2019-26 range
bghd-ram102500-av-tb,B07L7XJ67Q,Stehlen 733469492832 Compatible with 2010-2018 Dodge Ram 2500/3500 Advance Series Bull Bar,,UNRESOLVED — needs match,,1,0,1,single_direct,,10-18-ram-2500-3500-advanced-bull-guard-w-led-light-bar-matte-black,high,bghd-ram102500-av-tb=Ram 2500 2010 AVT texture black bull bar; handle=10-18 Ram 2500/3500 advanced bull guard with LED bar matte black; note jl_sku suffix -tb=texture black vs handle says matte black — functionally the same finish label variant; make/model/years/style all match
bghd-exped03-al-mb,B07L81FKDJ,Stehlen 733469493105 Compatible with 2004-2023 Ford F150 / 2003-2017 Expedition / 2003-201,,UNRESOLVED — needs match,,1,0,2,single_direct,,1997-2004-ford-f-150-f-250-expedition-advanced-bull-guard-black,medium,bghd-exped03-al-mb=Expedition 2003 AL-series matte black bull bar; title covers F150 04-23+Expedition 03-17; handle=97-04 F-150/F-250/Expedition advanced bull guard black covers only part of the range; medium because handle years end at 2004 but product title runs to 2023 — likely multiple handles needed
fg-grzd-dnl07-bk+fg-grbd-dnl07lower-bk,B07L8V34FL,Glossy Black Round Hole Mesh Front Upper Hood Grill + Lower Bumper Grille Guard ABS Compat,2007-2014-gmc-yukon-yukon-xl-front-grille-matte-black,image-stem (confident),high,0,1,0,combo_alias,PULL,,,"combo=Yukon/Denali 2007 upper+lower glossy black; handle=07-14 GMC Yukon matte black. Title explicitly says Glossy Black and this is a combo listing (upper+lower grille together); handle is for the upper grille only in matte black — both finish and completeness are wrong. Remove from live."
fg-exped03-vt-bk,B07LC1GGNX,Glossy Black Vertical Front Hood Bumper Grill Grille Guard ABS Compatible With 03-06 Ford,2003-2006-ford-expedition-vertical-style-front-grille-black-abs,image-stem (confident),high,1,0,1,single_direct,PASS,,,jl_sku=exped03 vertical glossy black; handle=03-06 Ford Expedition vertical black ABS; make/model/years/style/finish all match
fg-nav98-vt-bk,B07LC1H1QM,Glossy Black Vertical Front Hood Bumper Grill Grille Guard ABS Compatible With 98-02 Linco,,UNRESOLVED — needs match,,1,0,1,single_direct,,,not-on-site,fg-nav98-vt-bk=Navigator 1998 vertical glossy black; only Navigator grille handle in catalog is chrome vertical (1998-2003-lincoln-navigator-blackwood-chrome-vertical-front-grille) — no black Navigator vertical grille handle
tc-c1088-6.5-lru,B07LC94NGC,Lock & Roll Up Soft Vinyl Truck Bed Tonneau Cover Compatible with 88-00 Chevy GMC C10 C/K,,UNRESOLVED — needs match,,0,1,0,single_direct,,1988-2000-gmc-c-k-1500-3500-6-5-roll-up-tonneau-cover-503301,high,tc-c1088-6.5-lru=C10/CK 1988 6.5ft roll-up; handle=88-00 GMC C/K 1500-3500 6.5ft roll-up MPN-503301; make/model/years/bed-length/style all match
smdp-cama85-c,B07M5J6QT6,Depo Chrome Clear Housing Front Bumper Turn Signal Lights Parking Lamps Side Marker Reflec,,UNRESOLVED — needs match,,1,0,1,single_direct,,,not-on-site,smdp-cama85-c=Camaro 1985 side marker/parking lamp chrome; no Camaro signal/parking lamp handle in catalog — lighting accessories for Camaro not stocked
vs-taco05dc-in,B07M65DPSY,in Channel Classic Style Smoke Window Visors Deflector Vent Shade Guard 4 Pieces Compatibl,,UNRESOLVED — needs match,,1,0,2,single_direct,,,not-on-site,vs-taco05dc=Tacoma 2005 double cab window visor in-channel; no window visor/deflector handles in catalog
th-cara04-c389,B07MKDRXWX,"Class 3 III Black 2"" Receiver Tube Rear Bumper Trailer Tow Hitch Towing Mount Compatible w",2004-2007-chrysler-town-country-class-3-trailer-hitch-13389,image-stem (confident),high,1,0,2,single_direct,PASS,,,jl_sku=cara04 class 3 c389; handle=04-07 Chrysler Town & Country class 3 hitch 13389; make/model/years/class/MPN all match
th-is06-a372,B07MKDT93Q,"Class 1 I Black 1.25"" Receiver Tube Rear Bumper Trailer Tow Hitch Towing Mount Compatible",,UNRESOLVED — needs match,,1,0,3,single_direct,,,not-on-site,th-is06-a372=Lexus IS250 2006 class 1 hitch; only IS hitch in catalog is 2001-2005 IS300 class 1 (wrong years and model variant); no IS250 2006 class 1 handle exists
th-foc005d-a296,B07MNH6ZBY,"Class 1 I Black 1.25"" Receiver Tube Rear Bumper Trailer Tow Hitch Towing Mount Compatible",2000-2007-ford-focus-wagon-class-1-trailer-hitch-black-11296,image-stem (confident),high,0,1,0,single_direct,PASS,,,jl_sku=foc005d class 1 a296; handle=00-07 Ford Focus wagon class 1 hitch MPN-11296; make/model/years/class/MPN all match. Note: -d suffix may indicate 4-door; Focus wagon fitment covers the wagon body style
th-golf99-a066,B07MNJ4DK4,"Class 1 I Black 1.25"" Receiver Tube Rear Bumper Trailer Tow Hitch Towing Mount Compatible",,UNRESOLVED — needs match,,0,1,0,single_direct,,,not-on-site,th-golf99-a066=VW Golf 1999 class 1 hitch a066; only Golf hitch in catalog is 2015 VW Golf GTI class 1 — wrong generation; no 1999-2006 MK4 Golf class 1 hitch handle in catalog
th-sona10-a025,B07MNKNPG3,"Class 1 I Black 1.25"" Receiver Tube Rear Bumper Trailer Tow Hitch Towing Mount Compatible",2011-2015-hyundai-sonata-kia-optima-class-1-trailer-hitch-black,image-stem (confident),high,0,1,0,single_direct,PASS,,,jl_sku=sona10 class 1 a025; handle=11-15 Hyundai Sonata/Kia Optima class 1 hitch; make/model/years/class all match
bghd-4run03-al-mb,B07MTTM348,Matte Black AVT Style Aluminum LED Light Bull Bar Brush Push Front Bumper Grill Grille Gua,,UNRESOLVED — needs match,,1,0,1,single_direct,,2003-2009-toyota-4runner-lexus-gx470-bull-guard-matte-black,high,bghd-4run03-al-mb=4Runner 2003 AL-series matte black bull bar; handle=03-09 Toyota 4Runner/Lexus GX470 bull guard matte black; make/model/years/finish all match
bghd-ava021500-av-mb,B07MZJ4279,Matte Black AVT Style Bull Bar Brush Push Front Bumper Grill Grille Guard with Skid Plate,,UNRESOLVED — needs match,,0,1,0,single_direct,,99-07-silverado-sierra-1500-advanced-bull-guard-w-skid-plate-matte-black,medium,bghd-ava021500-av-mb=Avalanche/Silverado 1500 2002 AVT matte black bull bar; handle=99-07 Silverado/Sierra 1500 advanced bull guard skid plate matte black covers the shared GMT800 platform; medium because Avalanche is not named in handle — owner should confirm Avalanche is fitment-compatible with Silverado 1500 on this product
hlnb-sie07-bk+fg-sie07-h-bk,B07N8J45XL,Black Clear Housing Crystal Headlights Signal Lamps nb + Glossy Black Horizontal Front Hoo,2007-2014-gmc-sierra-oem-crystal-headlights-black-gmsr07-03,image-stem (confident),high,0,1,0,combo_direct,PASS,,,combo=Sierra 2007 crystal headlights (hlnb) + horizontal black grille (fg-sie07-h-bk); handle=07-14 GMC Sierra OEM crystal headlights black; primary product in the combo is the headlights; headlight handle is correct; the grille component is secondary and reviews logically attach to the headlights PDP
tbm-f15001-5-rb-gy,B07N9RCKXH,Topline_autopart Black Rubber Diamond Plate Truck Bed Floor Mat Liner Compatible with 01-0,2001-2003-ford-f-150-styleside-5-5-bed-pvc-truck-bed-mat-black,image-stem (confident),high,1,0,3,single_direct,PULL,,,"tbm=truck bed mat, f15001=F150 2001, 5=5.5ft, rb=rubber, gy=grey. Amazon title says Black Rubber; handle=black PVC bed mat. Two issues: (1) gy in jl_sku means grey but title and handle both say black — possible color mismatch; (2) handle material is PVC, SKU and title say rubber. Material/color discrepancy on a bed mat is a return trigger. Pull and verify product identity before re-linking."
fg-ram102500-bh-ch,B07NPCT7WH,Chrome Big Horn Style Horizontal Front Hood Bumper Grill Grille Guard ABS With Shell Compa,2010-2018-ram-2500-3500-4500-5500-big-horn-style-chrome-grille,image-stem (confident),high,1,0,2,single_direct,PASS,,,jl_sku=ram102500 Big Horn chrome; handle=10-18 Ram 2500/3500/4500/5500 Big Horn chrome; make/model/trim/years/finish all match
bghd-tun99-al,B07P11XPJZ,Stehlen 733469494140 Compatible with 1999 2000-2006 Toyota Tundra / 2001-2007 Sequoia Adva,,UNRESOLVED — needs match,,0,1,0,inferred_no_parent,,2000-2007-toyota-tundra-sequoia-advanced-bull-guard-matte-black,high,bghd-tun99-al=Tundra 1999 AL-series bull bar; handle=00-07 Toyota Tundra/Sequoia advanced bull guard matte black; title says 99-06 Tundra + 01-07 Sequoia; handle covers 2000-2007 range — 1999 Tundra is the only year slightly outside but handle is the correct product. Make/model/years/style match
bghd-ava021500-al-mb,B07P3257NK,Stehlen 733469493518 Compatible with 1999-2007 Chevy Silverado GMC Sierra / 2002-2006 Aval,,UNRESOLVED — needs match,,0,1,0,single_direct,,99-07-silverado-sierra-1500-advanced-bull-guard-w-skid-plate-matte-black,high,bghd-ava021500-al-mb=Avalanche/Silverado 1500 2002 AL-series matte black; handle=99-07 Silverado/Sierra 1500 advanced bull guard with skid plate matte black; title confirms 99-07 Silverado/Sierra + 02-06 Avalanche; make/model/years/finish all match
bghd-4run10-al-mb,B07P32H1B7,Stehlen 733469493495 Compatible with 2010-2024 Toyota 4Runner Advance Series Aluminum LED,,UNRESOLVED — needs match,,1,0,1,single_direct,,2010-2024-toyota-4runner-bull-guard-w-led-light-bar-matte-black,high,bghd-4run10-al-mb=4Runner 2010 AL-series matte black bull bar with LED; handle=10-24 Toyota 4Runner bull guard with LED bar matte black; make/model/years/finish/style all match
uss-f15015cc-bk,B07PH2HQYQ,Stehlen 733469494522 Compatible With 2015-2022 Ford F150 / 2017-2022 F250 F350 F450 F550 S,2015-2023-ford-f-150-f-250-f-350-underseat-storage-organizer-box,image-stem (confident),high,1,0,1,single_direct,PASS,,,jl_sku=f15015cc black underseat storage; handle=15-23 F-150/F-250/F-350 underseat storage organizer; title says 15-22 F-150 + 17-22 F-250+; handle runs to 2023 but that is an acceptable extension; make/model/years/style all match
sbds-sil07cc-v2-mb+sbds-sil07cc-v2-br,B07R34CZ9R,Matte Black Hoop Drop Step Side Nerf Bars Rail Running Boards v2 Compatible with 07-18 Che,,UNRESOLVED — needs match,,1,0,1,combo_alias,,07-18-chevy-silverado-gmc-sierra-crew-cab-modular-step-bars-matte-black,high,sbds-sil07cc=Silverado 2007 crew cab hoop-drop step v2; handle=07-18 Silverado/Sierra crew cab modular step bars matte black; make/model/cab-type/years/finish all match. Combo adds brown (br) color variant — same handle for the matte black (mb) variant.
sbhd-tit04xc-4-bk,B07T81XG6C,Stehlen 733469496670 Compatible with 2004-2024 Titan / 2017-2019 Titan XD King (Extended),,UNRESOLVED — needs match,,0,1,0,single_direct,,2004-2024-nissan-titan-crew-cab-4-oval-side-step-bars-matte-black,medium,sbhd-tit04xc-4-bk=Titan 2004 XC (extended/king cab) 4-inch black; handle=04-24 Nissan Titan crew cab 4-oval matte black; title confirms extended cab for 2017-19 Titan XD; note: jl_sku -bk means glossy black but handle says matte black — finish discrepancy; also xc may be extended cab not crew cab; medium until finish and cab-type confirmed
sbhd-taco05dc-4-20-ch,B07TB1X4RZ,"Stehlen 733469496588 Compatible with 2005-2022 Toyota Tacoma Double (Crew) Cab 4"" Oval Sid",,UNRESOLVED — needs match,,0,1,0,single_direct,,,not-on-site,sbhd-taco05dc-4-20-ch=Tacoma 2005 double cab 4-inch oval chrome; no Tacoma running board/step bar handle in catalog with chrome finish and 4-inch oval spec; 2005-2022 Tacoma step handles exist (modular/aluminum/OE-style in matte black/polished/silver) but not a 4-inch oval chrome Tacoma handle
fg-ram02-rvt-me-mb,B081W2L83J,Matte Black RVT Rivet Bolt Steel Mesh Front Hood Bumper Grill Grille Guard ABS Compatible,2002-2005-dodge-ram-1500-2500-3500-rivet-mesh-grille-matte-black,image-stem (confident),high,1,0,1,single_direct,PASS,,,jl_sku=ram02 rivet mesh matte black; handle=02-05 Dodge Ram rivet mesh matte black; make/model/years/style/finish all match
sbds-taco05dc-v2-mb+sbds-taco05dc-v2-br,B082QSVSKT,Matte Black Hoop Drop Step Side Nerf Bars Rail Running Boards v2 Compatible with 05-22 Toy,,UNRESOLVED — needs match,,1,0,3,combo_alias,,2005-2018-toyota-tacoma-double-cab-modular-step-bars-matte-black,high,sbds-taco05dc=Tacoma 2005 double cab hoop-drop step v2; handle=05-18 Toyota Tacoma double cab modular step bars matte black; make/model/cab-type/years/finish all match. Combo adds brown (br) variant.
sbds-f15009cc-v2-mb+sbds-f15009cc-v2-br,B083ZLMQYM,Stehlen 642167818991 Compatible with 2009-2014 Ford F150 SuperCrew (Crew) Cab Hoop Drop St,,UNRESOLVED — needs match,,1,0,1,combo_alias,,2009-2014-ford-f-150-supercrew-4-step-bars-matte-black,medium,sbds-f15009cc=F150 2009 crew cab hoop-drop step v2; handle=09-14 F-150 SuperCrew 4-inch step bars matte black; make/model/cab-type/years/finish match but bar diameter unconfirmed (v2 step bars may be a different diameter than the 4-inch oval in the handle); medium — verify before adding
sbds-f15015sc-v2-mb+sbds-f15015sc-v2-br,B083ZN7JYB,Stehlen 642167819011 Compatible with 2015-2022 Ford F150 / 2017-2022 F250 F350 F450 F550 S,,UNRESOLVED — needs match,,1,0,2,combo_alias,,2015-2018-ford-f-150-f-250-super-crew-modular-step-bars-matte-black,high,sbds-f15015sc=F150 2015 super crew hoop-drop step v2; handle=15-18 F-150/F-250 super crew modular step bars matte black; make/model/cab-type/years/finish all match. Combo adds brown (br) variant.
fg-cha06-me-bk,B0856VX2ZL,Stehlen 642167821588 Compatible With 2005 2006-2010 Dodge Charger Mesh Front Hood Bumper G,2006-2010-dodge-charger-front-grille-mesh-style-matte-black,image-stem (confident),high,0,1,0,single_direct,PASS,,,jl_sku=cha06 mesh glossy black; handle=06-10 Dodge Charger mesh matte black; vehicle/years match; minor finish label difference glossy vs matte is cosmetic and common in catalog labeling
fg-cha11-me-bk,B0856ZNSPB,Stehlen 642167819745 Compatible With 2011-2014 Dodge Charger Mesh Front Hood Bumper Grille,2011-2014-dodge-charger-front-grille-black,image-stem (confident),high,0,1,0,single_direct,PASS,,,jl_sku=cha11 mesh glossy black; handle=11-14 Dodge Charger black; make/model/years all match
fg-taco12oe-bk,B085LWNF4J,Stehlen 642167821496 Compatible With 2012-2015 Toyota Tacoma OE Mesh Front Hood Bumper Gri,,UNRESOLVED — needs match,,0,1,0,single_direct,,,not-on-site,fg-taco12oe-bk=Tacoma 2012 OE mesh glossy black; Tacoma grille handles in catalog run 2005-2011 only; no 2012-2015 Tacoma grille handle exists in catalog
fg-escl02-me-bk,B085PPZQHP,Stehlen 642167821670 Compatible With 2002-2006 Cadillac Escalade Mesh Front Hood Bumper Gr,,UNRESOLVED — needs match,,0,1,0,single_direct,,02-06-cadillac-escalade-front-grille-chrome-mesh-style,low,fg-escl02-me-bk=Escalade 2002 mesh glossy black; only Escalade 02-06 grille handle is chrome mesh; no matte/glossy black Escalade 02-06 handle exists; chrome is wrong finish — low confidence
fg-ram131500-rb-mb,B085Q54ZKD,Stehlen 642167821885 Compatible With 2013-2018 Ram 1500/2019-2024 Classic Rebel Honeycomb,2013-2022-ram-1500-honeycomb-rebel-style-front-grille-matte-black,image-stem (confident),high,1,0,2,single_direct,PASS,,,jl_sku=ram131500 rebel honeycomb matte black; handle=13-22 Ram 1500 honeycomb rebel matte black; make/model/trim/finish/years all match
fggg-gr-camy10-me-bk,B085Z52V3H,Stehlen 642167820161 Compatible With 2010-2011 Toyota Camry Mesh Front Hood Bumper Grille,2010-2011-toyota-camry-mesh-front-grille-black,image-stem (confident),high,0,1,0,single_direct,PASS,,,jl_sku=camy10 mesh glossy black; handle=10-11 Toyota Camry mesh black; make/model/years/style match
fggg-grzt-taho07-me-ch,B086VT9855,Chrome Mesh Front Hood Bumper Grill Grille Guard ABS 1 Piece Design Compatible With 07-13,,UNRESOLVED — needs match,,0,1,0,single_direct,,,not-on-site,fggg-grzt-taho07-me-ch=Tahoe 2007 mesh chrome; Tahoe 07-14 grille handle only exists in matte black (07-14-chevy-tahoe-suburban-avalanche-front-grille-matte-black); no chrome Tahoe 07 grille handle in catalog
fggg-grzt-f15004-me-bk,B088CSF44N,Stehlen 642167820840 Compatible With 2004-2008 Ford F150 Mesh Front Hood Bumper Grille - G,2004-2008-ford-f-150-front-grille-matte-black-mesh-style,image-stem (confident),high,1,0,2,single_direct,PASS,,,jl_sku=f15004 mesh glossy black (1-piece design); handle=04-08 F-150 matte black mesh style; make/model/years/style match; finish label minor difference
sbrs-f15015cc-rs2-tb,B08JYG36VY,Textured Black Round Pattern Rock Slider Rocker Style Side Step Rail Nerf Bars Running Boa,,UNRESOLVED — needs match,,0,1,0,single_direct,,,not-on-site,sbrs-f15015cc=F150 2015 crew cab rock slider; no F-150 rock slider handle in catalog; only rock slider handles are 2019 Ram 1500 crew cab and 2019 Silverado crew cab
th-escp13-c186,B08LR7DW5R,"Class 3 III Black 2"" Receiver Tube Rear Bumper Trailer Tow Hitch Towing Mount Compatible w",2013-2019-ford-escape-class-3-trailer-hitch-black-mpn-13186,image-stem (confident),high,1,0,1,single_direct,PASS,,,jl_sku=escp13 class 3 c186; handle=13-19 Ford Escape class 3 hitch MPN-13186; make/model/years/class/MPN all match
sbrs-sil19dc-rs2-tb,B08PQB9V23,Textured Black Round Pattern Rock Slider Rocker Style Side Step Rail Nerf Bars Running Boa,,UNRESOLVED — needs match,,0,1,0,single_direct,,2019-chevy-silverado-gmc-sierra-crew-cab-rock-sliders-texture-black,high,sbrs-sil19dc=Silverado 2019 double/crew cab rock slider RS2 texture black; handle=2019 Chevy Silverado/GMC Sierra crew cab rock sliders texture black; make/model/year/cab-type/finish all match
sbrs-taco05dc-rs2-tb,B08QZ4J46C,Textured Black Round Pattern Rock Slider Rocker Style Side Step Rail Nerf Bars Running Boa,,UNRESOLVED — needs match,,1,0,1,single_direct,,,not-on-site,sbrs-taco05dc=Tacoma 2005 double cab rock slider; no Tacoma rock slider handle in catalog; only Tundra and Silverado/Ram rock slider handles exist
fggg-grbt-impa06lo-me-ch,B08VDRSGPZ,Stehlen 642167823711 Compatible With 2006-2013 Chevy Impala / 2014-2016 Limited Mesh Front,,UNRESOLVED — needs match,,1,0,1,single_direct,,2006-2016-chevy-impala-monte-carlo-front-grille-chrome,medium,fggg-grbt-impa06lo-me-ch=Impala 2006 lower bumper chrome mesh; handle=06-16 Impala/Monte Carlo front grille chrome; this is the lower bumper grille but the handle covers the full/upper grille chrome — functionally the grille chrome line is the same product family; medium because lower vs upper grille is a fitment dimension
hlnb-ram06lsq-jdma,B0B7QCZX36,Topline_autopart Switchback Sequential LED Strip Tube Bar Black Housing Crystal Headlights,06-09-dodge-ram-black-crystal-headlights-sequential-led-turn-signal,image-stem (confident),high,1,0,3,single_direct,PASS,,,jl_sku=ram06 crystal headlights sequential LED black JDMA; handle=06-09 Dodge Ram black crystal headlights sequential LED; make/model/years/style/finish all match
hlnb-civ064dlbw-jdma,B0B7QQW48F,DRL LED Strip Tube Bar Black Housing Crystal Headlights Signal Lamps Amber Reflector nb Co,06-11-honda-civic-4dr-crystal-headlights-led-light-bar-black-jdma,image-stem (confident),high,1,0,2,single_direct,PASS,,,jl_sku=civ064d black crystal headlights LED bar JDMA; handle=06-11 Honda Civic 4dr crystal headlights LED bar black JDMA; make/model/years/body-style/style/finish all match
mfg-f15021,B0BRDK5S8X,Molded Black Front + Rear Side Fender Mud Flaps Splash Guards 4 Pieces Compatible with 202,,UNRESOLVED — needs match,,1,0,4,single_direct,,,not-on-site,mfg-f15021=F150 2021 molded mud flap; no mud flap / splash guard handles exist anywhere in catalog
