action_needed,jl_sku,amazon_asin,amazon_listing_title,verified_reviews_waiting,customer_photos_waiting,current_wrong_shopify_handle,my_proposed_shopify_handle,my_confidence,my_reasoning,CORRECT_SHOPIFY_HANDLE_OR_URL__PLEASE_FILL,team_notes
5. NOT IN STEHLENAUTO CATALOG — confirm skip or add product,sbds-fj07-v2-mb+sbds-fj07-v2-br,B07V5KK9Z9,Matte Black Hoop Drop Step Side Nerf Bars Rail Running Boards v2 Compatible with 07-14 Toy,0,0,,,not-on-site,fj07=FJ Cruiser 2007; no FJ Cruiser running board handle in catalog; nearest Toyota running board handles are Tacoma and Tundra — wrong vehicle,,
5. NOT IN STEHLENAUTO CATALOG — confirm skip or add product,sbhd-taco05dc-4-20-ch,B07TB1X4RZ,"Stehlen 733469496588 Compatible with 2005-2022 Toyota Tacoma Double (Crew) Cab 4"" Oval Sid",0,0,,,not-on-site,sbhd-taco05dc-4-20-ch=Tacoma 2005 double cab 4-inch oval chrome; no Tacoma running board/step bar handle in catalog with chrome finish and 4-inch oval spec; 2005-2022 Tacoma step handles exist (modular/aluminum/OE-style in matte black/polished/silver) but not a 4-inch oval chrome Tacoma handle,,
5. NOT IN STEHLENAUTO CATALOG — confirm skip or add product,sbrs-colo15cc-rs2-tb,B08PQCNQF2,Textured Black Round Pattern Rock Slider Rocker Style Side Step Rail Nerf Bars Running Boa,0,0,,,not-on-site,sbrs-colo15cc=Colorado 2015 crew cab rock slider; only rock slider handles in catalog are 2019 Ram 1500 crew cab and 2019 Silverado crew cab and 2022 Tundra — no Colorado rock slider exists,,
5. NOT IN STEHLENAUTO CATALOG — confirm skip or add product,sbrs-f15015cc-rs2-tb,B08JYG36VY,Textured Black Round Pattern Rock Slider Rocker Style Side Step Rail Nerf Bars Running Boa,0,0,,,not-on-site,sbrs-f15015cc=F150 2015 crew cab rock slider; no F-150 rock slider handle in catalog; only rock slider handles are 2019 Ram 1500 crew cab and 2019 Silverado crew cab,,
5. NOT IN STEHLENAUTO CATALOG — confirm skip or add product,sbrs-taco05dc-rs2-tb,B08QZ4J46C,Textured Black Round Pattern Rock Slider Rocker Style Side Step Rail Nerf Bars Running Boa,1,1,,,not-on-site,sbrs-taco05dc=Tacoma 2005 double cab rock slider; no Tacoma rock slider handle in catalog; only Tundra and Silverado/Ram rock slider handles exist,,
5. NOT IN STEHLENAUTO CATALOG — confirm skip or add product,smdp-cama85-c,B07M5J6QT6,Depo Chrome Clear Housing Front Bumper Turn Signal Lights Parking Lamps Side Marker Reflec,1,1,,,not-on-site,smdp-cama85-c=Camaro 1985 side marker/parking lamp chrome; no Camaro signal/parking lamp handle in catalog — lighting accessories for Camaro not stocked,,
5. NOT IN STEHLENAUTO CATALOG — confirm skip or add product,th-cor03-a265,B07JKD6ZVB,"Class 1 I Black 1.25"" Receiver Tube Rear Bumper Trailer Tow Hitch Towing Mount Compatible",0,0,,,not-on-site,th-cor03-a265=Toyota Corolla 2003 class 1 hitch; no Corolla hitch handle in catalog,,
5. NOT IN STEHLENAUTO CATALOG — confirm skip or add product,th-flex09-c110,B07MKDSXGV,"Class 3 III Black 2"" Receiver Tube Rear Bumper Trailer Tow Hitch Towing Mount Compatible w",0,0,,,not-on-site,th-flex09-c110=Ford Flex 2009 class 3 hitch; no Ford Flex hitch handle in catalog,,
5. NOT IN STEHLENAUTO CATALOG — confirm skip or add product,th-golf99-a066,B07MNJ4DK4,"Class 1 I Black 1.25"" Receiver Tube Rear Bumper Trailer Tow Hitch Towing Mount Compatible",0,0,,,not-on-site,th-golf99-a066=VW Golf 1999 class 1 hitch a066; only Golf hitch in catalog is 2015 VW Golf GTI class 1 — wrong generation; no 1999-2006 MK4 Golf class 1 hitch handle in catalog,,
5. NOT IN STEHLENAUTO CATALOG — confirm skip or add product,th-is06-a372,B07MKDT93Q,"Class 1 I Black 1.25"" Receiver Tube Rear Bumper Trailer Tow Hitch Towing Mount Compatible",1,3,,,not-on-site,th-is06-a372=Lexus IS250 2006 class 1 hitch; only IS hitch in catalog is 2001-2005 IS300 class 1 (wrong years and model variant); no IS250 2006 class 1 handle exists,,
5. NOT IN STEHLENAUTO CATALOG — confirm skip or add product,th-piru04-a468,B07JKLQPGL,"Class 1 I Black 1.25"" Receiver Tube Rear Bumper Trailer Tow Hitch Towing Mount Compatible",1,2,,,not-on-site,th-piru04-a468=Toyota Prius 2004 class 1 hitch; no Prius hitch handle in catalog,,
5. NOT IN STEHLENAUTO CATALOG — confirm skip or add product,th-rod98-c222,B07KCSKDNR,Stehlen 733469488828 Compatible with 1998-2003 Isuzu Rodeo / 2004 Rodeo / 1998-2002 Honda,0,0,,,not-on-site,th-rod98-c222=Isuzu Rodeo 1998 class 3 hitch MPN-13222; no Isuzu Rodeo or Honda Passport hitch handle exists in catalog,,
5. NOT IN STEHLENAUTO CATALOG — confirm skip or add product,vs-camy02v2,B07MDF528K,Curved Style Smoke Window Visors Deflector Vent Shade Guard 4 Pieces v2 Compatible with 02,2,3,,,not-on-site,vs-camy02v2=Camry 2002 curved window visor v2; no window visor/deflector handles exist in catalog — category not stocked,,
5. NOT IN STEHLENAUTO CATALOG — confirm skip or add product,vs-expl024d,B07MNV366X,Curved Style Smoke Window Visors Deflector Vent Shade Guard 4 Pieces Compatible with 02-10,0,0,,,not-on-site,vs-expl02=Explorer 2002 4-door window visor; no window visor handles in catalog,,
5. NOT IN STEHLENAUTO CATALOG — confirm skip or add product,vs-taco05dc-in,B07M65DPSY,in Channel Classic Style Smoke Window Visors Deflector Vent Shade Guard 4 Pieces Compatibl,1,2,,,not-on-site,vs-taco05dc=Tacoma 2005 double cab window visor in-channel; no window visor/deflector handles in catalog,,
