audit_verdict,stehlen_branded,bracket_pn,year_range_claimed,cabs_claimed,vendor,handle,title,live_url,verification_note,raw_tags
INSPECT - no bracket P/N,,,,Extended Cab,DERA,07-18-chevy-silverado-gmc-sierra-ext-cab-modular-step-bars-matte-black,07-19 Silverado/Sierra Extended Cab Modular Side Steps - Matte Black,https://stehlenauto.com/products/07-18-chevy-silverado-gmc-sierra-ext-cab-modular-step-bars-matte-black,Bracket P/N not found in tags - inspect product manually.,2007-2019 | Chevrolet Silverado | double cab | drop step | extended cab | GMC Sierra | matte black | modular step | running boards | SBMS-SIL07XC-MB | side step bars | side steps | Sierra 1500 | Sierra 2500 | Sierra 3500 | Silverado 1500 | Silverado 2500 | Silverado 3500 | truck accessories
INSPECT - no bracket P/N,,,2009-2023,Quad Cab,Modular Step,09-18-dodge-ram-1500-2500-3500-quad-cab-modular-side-step-bars,2009-2023 Dodge Ram 1500/2500/3500 Quad Cab Side Step Bars - Matte Black,https://stehlenauto.com/products/09-18-dodge-ram-1500-2500-3500-quad-cab-modular-side-step-bars,Bracket P/N not found in tags - inspect product manually.,2009 | 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 | 2021 | 2022 | 2023 | cab entry | dodge ram 1500 | dodge ram 2500 | dodge ram 3500 | drop step | EB931-RAM09QC-BK | extended cab | matte black | modular step | nerf bar | quad cab | ram 1500 classic | running boards | SBMS-RAM09QC-MB | side step bars | truck steps
INSPECT - no bracket P/N,,,2004-2008,Super Cab,?,2004-2008-ford-f-150-4-oval-nerf-bars-stainless-steel,"2004-2008 Ford F-150 Super Cab 4"" Side Step Nerf Bars - Chrome",https://stehlenauto.com/products/2004-2008-ford-f-150-4-oval-nerf-bars-stainless-steel,Bracket P/N not found in tags - inspect product manually.,2004 | 2004-2008 | 2005 | 2006 | 2007 | 2008 | 4 inch oval | chrome | Extended Cab | Ford F-150 | nerf bars | running boards | sbhd-f15004sc-4-20-ch | side step bars | side steps | stainless steel | Super Cab | T-304 | truck accessories
INSPECT - no bracket P/N,,,2004-2008,Super Cab,?,2004-2008-ford-f-150-super-cab-4-oval-side-step-bars-matte-black,"2004-2008 Ford F-150 Super Cab 4"" Oval Side Step Bars - Matte Black",https://stehlenauto.com/products/2004-2008-ford-f-150-super-cab-4-oval-side-step-bars-matte-black,Bracket P/N not found in tags - inspect product manually.,2004 | 2004-2008 | 2005 | 2006 | 2007 | 2008 | 4 inch oval | cab steps | Extended Cab | F-150 | Ford | matte black | nerf bars | running boards | SBHD-F15004SC-4-MB | side step bars | Super Cab | truck accessories
INSPECT - no bracket P/N,,,2004-2024,Crew Cab,Side Step Bars,2004-2024-nissan-titan-crew-cab-4-oval-side-step-bars-matte-black,"2004-2024 Nissan Titan Crew Cab 4"" Oval Side Step Bars - Matte Black",https://stehlenauto.com/products/2004-2024-nissan-titan-crew-cab-4-oval-side-step-bars-matte-black,Bracket P/N not found in tags - inspect product manually.,2004 | 2004-2024 | 2005 | 2006 | 2007 | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 | 2021 | 2022 | 2023 | 2024 | 4 inch oval | Crew Cab | matte black | nerf bars | Nissan | running boards | SBHD-TIT04CC-4-MB | side step bars | side steps | Titan | Titan XD | truck accessories
INSPECT - no bracket P/N,,,2005-2023,Double Cab,Modular Step,2005-2018-toyota-tacoma-double-cab-modular-step-bars-matte-black,2005-2023 Toyota Tacoma Double Cab Modular Side Steps - Matte Black,https://stehlenauto.com/products/2005-2018-toyota-tacoma-double-cab-modular-step-bars-matte-black,Bracket P/N not found in tags - inspect product manually.,2005 | 2005-2023 | 2006 | 2007 | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 | 2021 | 2022 | 2023 | crew cab | double cab | drop step | matte black | modular step | nerf bars | running boards | SBMS-TACO05DC-MB | side step bars | side steps | Tacoma side steps | Toyota accessories | Toyota Tacoma | truck accessories
INSPECT - no bracket P/N,,,2005-2021,Crew Cab,Viewpoint,2005-2021-nissan-frontier-crew-cab-viewpoint-running-boards-chrome,2005-2021 Nissan Frontier Crew Cab Running Boards - Viewpoint Chrome,https://stehlenauto.com/products/2005-2021-nissan-frontier-crew-cab-viewpoint-running-boards-chrome,Bracket P/N not found in tags - inspect product manually.,2005 | 2005-2021 | 2006 | 2007 | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 | 2021 | aluminum | chrome | crew cab | exterior accessories | Nissan Frontier | PW00937501 | RBWB-FRON05CC-VP-CH | running boards | side steps | stainless steel | Suzuki Equator | truck accessories | viewpoint
INSPECT - no bracket P/N,,,2007-2015,,Steelcraft,2007-2015-ford-edge-lincoln-mkx-4-side-step-bars-black,"2007-2015 Ford Edge / Lincoln MKX 4"" Side Step Bars - Black",https://stehlenauto.com/products/2007-2015-ford-edge-lincoln-mkx-4-side-step-bars-black,Bracket P/N not found in tags - inspect product manually.,2007 | 2007-2015 | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 4 inch side steps | black side steps | Ford Edge | Lincoln MKX | nerf bars | P4SB049401A | running boards | SBHD-EDGE07-4-BK | side step bars | SUV accessories
INSPECT - no bracket P/N,,,2007-2018,,Modular Step,2007-2018-jeep-wrangler-jk-4-door-modular-side-step-bars-matte-black,2007-2018 Jeep Wrangler JK 4-Door Modular Side Step Bars - Matte Black,https://stehlenauto.com/products/2007-2018-jeep-wrangler-jk-4-door-modular-side-step-bars-matte-black,Bracket P/N not found in tags - inspect product manually.,2007 | 2007-2018 | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 4 door | drop step bars | jeep accessories | jeep wrangler | jeep wrangler jk | jk wrangler | matte black | modular step | nerf bars | off-road | running boards | SBMS-WRAN074D-MB | side step bars | side steps | unlimited | wrangler accessories
INSPECT - no bracket P/N,,,2007-2021,,Modular Step,2007-2018-toyota-tundra-crewmax-modular-step-bars-matte-black,2007-2021 Toyota Tundra CrewMax Modular Side Step Bars - Matte Black,https://stehlenauto.com/products/2007-2018-toyota-tundra-crewmax-modular-step-bars-matte-black,Bracket P/N not found in tags - inspect product manually.,2007 | 2007-2021 | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 | 2021 | crew cab | CrewMax | drop step | matte black | modular step | nerf bars | running boards | SBMS-TUN07CC-MB | side bars | side step bars | Toyota Tundra | Toyota Tundra accessories | truck accessories
INSPECT - no bracket P/N,,,2007-2021,Double Cab,Modular Step,2007-2018-toyota-tundra-double-cab-modular-side-step-bars-matte-black,2007-2021 Toyota Tundra Double Cab Modular Side Steps - Matte Black,https://stehlenauto.com/products/2007-2018-toyota-tundra-double-cab-modular-side-step-bars-matte-black,Bracket P/N not found in tags - inspect product manually.,2007 | 2007-2021 | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 | 2021 | cab entry | drop step | matte black | modular step | nerf bar | running boards | SBMS-TUN07DC-MB | side steps | step bars | Toyota Tundra | truck accessories | Tundra Double Cab | Tundra Extended Cab
INSPECT - no bracket P/N,,,2009-2014,Crew Cab,HD,2009-2014-ford-f-150-supercrew-4-step-bars-black-sbfd5003-4s,"2009-2014 Ford F-150 Crew Cab 4"" Side Step Bars - Black",https://stehlenauto.com/products/2009-2014-ford-f-150-supercrew-4-step-bars-black-sbfd5003-4s,Bracket P/N not found in tags - inspect product manually.,2009 | 2009-2014 | 2010 | 2011 | 2012 | 2013 | 2014 | 4 inch | black | Crew Cab | F150 | Ford F-150 | nerf bars | running boards | SBFD5003-4S | SBHD-F15009CC-4-BK | side step bars | side steps | step bars | SuperCrew | truck accessories
INSPECT - no bracket P/N,,,2009-2014,SuperCrew,Generic,2009-2014-ford-f-150-supercrew-4-step-bars-matte-black,"2009-2014 Ford F-150 SuperCrew 4"" Step Bars - Matte Black",https://stehlenauto.com/products/2009-2014-ford-f-150-supercrew-4-step-bars-matte-black,Bracket P/N not found in tags - inspect product manually.,2009 | 2009-2014 | 2010 | 2011 | 2012 | 2013 | 2014 | 4 inch step bars | category:Running Boards | crew cab | exterior accessories | F150 | Ford F-150 | Ford F-150 step bars | make:Ford | matte black | model:F-150 | nerf bars | running boards | SBHD-F15009CC-4-MB | side step bars | step bars | SuperCrew | truck accessories | year:2009 | year:2010 | year:2011 | year:2012 | year:2013 | year:2014
INSPECT - no bracket P/N,,,2015-2022,Crew Cab,Modular Step,2015-2018-chevy-colorado-gmc-canyon-crew-cab-modular-step-bars,2015-2022 Chevrolet Colorado/GMC Canyon Crew Cab Step Bars - Matte Black,https://stehlenauto.com/products/2015-2018-chevy-colorado-gmc-canyon-crew-cab-modular-step-bars,Bracket P/N not found in tags - inspect product manually.,2015 | 2015-2022 | 2016 | 2017 | 2018 | 2019 | 2020 | 2021 | 2022 | 4-door | Canyon step bars | Chevrolet Colorado | Colorado step bars | crew cab | drop step | GMC Canyon | matte black | modular step bars | nerf bars | running boards | SBMS-COLO15CC-MB | side step bars | side steps | truck steps
INSPECT - no bracket P/N,,,2015-2023,Crew Cab,Modular Step,2015-2018-ford-f-150-f-250-super-crew-modular-step-bars-matte-black,2015-2023 Ford F-150/Super Duty Crew Cab Modular Side Steps,https://stehlenauto.com/products/2015-2018-ford-f-150-f-250-super-crew-modular-step-bars-matte-black,Bracket P/N not found in tags - inspect product manually.,2015 | 2015-2023 | 2016 | 2017 | 2018 | 2019 | 2020 | 2021 | 2022 | 2023 | crew cab | drop step | exterior accessories | Ford F-150 | Ford F-250 | Ford F-350 | Ford F-450 | Ford F-550 | matte black | modular step | running boards | SBMS-F15015CC-MB | side step bars | Super Duty | supercrew | truck accessories
INSPECT - no bracket P/N,,,2017-2022,Crew Cab,SBHD,2017-2022-ford-super-duty-crew-cab-4-side-step-bars-matte-black,"2017-2022 Ford Super Duty Crew Cab 4"" Side Step Bars - Matte Black",https://stehlenauto.com/products/2017-2022-ford-super-duty-crew-cab-4-side-step-bars-matte-black,Bracket P/N not found in tags - inspect product manually.,2017 | 2018 | 2019 | 2020 | 2021 | 2022 | 4 inch | crew cab | F-250 | F-350 | F-450 | F-550 | Ford | matte black | nerf bars | rocker panel mount | running boards | SBHD-F15015CC-4-20-CH | side step bars | side steps | stainless steel | Super Duty | truck accessories
INSPECT - no bracket P/N,,,2017-2022,Crew Cab,SBHD,2017-2022-ford-super-duty-crew-cab-5-steel-side-step-bars-black,"2017-2022 Ford Super Duty Crew Cab 5"" Side Step Bars - Black",https://stehlenauto.com/products/2017-2022-ford-super-duty-crew-cab-5-steel-side-step-bars-black,Bracket P/N not found in tags - inspect product manually.,2017 | 2017-2022 | 2018 | 2019 | 2020 | 2021 | 2022 | 5 inch side steps | black side steps | crew cab | Ford F-250 Super Duty | Ford F-350 Super Duty | Ford F-450 Super Duty | Ford F-550 Super Duty | Ford Super Duty accessories | rocker panel mount | running boards | SBHD-F15015CC-5-BK | side step bars | steel side steps | truck accessories
INSPECT - no bracket P/N,,,2019-2022,Crew Cab,PW,2019-chevy-silverado-gmc-sierra-crew-cab-rock-sliders-texture-black,2019-2022 Silverado/Sierra 1500 Crew Cab Rock Slider Side Steps,https://stehlenauto.com/products/2019-chevy-silverado-gmc-sierra-crew-cab-rock-sliders-texture-black,Bracket P/N not found in tags - inspect product manually.,2019 | 2019 2020 2021 2022 | 2020 | 2021 | 2022 | bolt-on | Chevrolet Silverado 1500 | crew cab | GMC Sierra 1500 | off-road | rock sliders | rocker panel protection | running boards | SBRS-SIL19CC-RS2-TB | side step bars | side steps | Sierra 1500 Limited | Silverado 1500 LTD | texture black | truck accessories
INSPECT - no bracket P/N,,,2019-2023,Crew Cab,Aftermarket,2019-ram-1500-crew-cab-rock-sliders-side-step-bars-texture-black,2019-2023 Dodge Ram 1500 Crew Cab Rock Slider Side Steps - Texture Black,https://stehlenauto.com/products/2019-ram-1500-crew-cab-rock-sliders-side-step-bars-texture-black,Bracket P/N not found in tags - inspect product manually.,2019 | 2019 ram 1500 | 2020 | 2020 ram 1500 | 2021 | 2021 ram 1500 | 2022 | 2022 ram 1500 | 2023 | 2023 ram 1500 | crew cab | dodge ram | nerf bars | off-road | PW03613301 | ram 1500 | rock slider | rocker panel protection | running boards | SBRS-RAM191500CC-RS2-TB | side step bars | side steps | texture black | truck accessories
INSPECT - no bracket P/N,,,2022-2023,Double Cab,Ajp Distributors,2022-toyota-tundra-double-cab-rock-sliders-side-steps-texture-black,2022-2023 Toyota Tundra Double Cab Rock Sliders Side Steps - Texture Black,https://stehlenauto.com/products/2022-toyota-tundra-double-cab-rock-sliders-side-steps-texture-black,Bracket P/N not found in tags - inspect product manually.,2022 | 2022 Tundra | 2023 | 2023 Tundra | bolt-on | Double Cab | Extended Cab | off-road | PW04472101 | rock sliders | rocker panel protection | SBRS-TUN22DC-RS2-TB | side step bars | side steps | texture black | Toyota Tundra | truck accessories
